year,quarter,region,area,sex,age_group,value,unit,source
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคใต้,นอกเขตเทศบาล,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคใต้,รวม,รวม,15-19 ปี,3.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,20-24 ปี,4.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคเหนือ,รวม,รวม,20-24 ปี,2.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคกลาง,รวม,รวม,25-29 ปี,1.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,ในเขตเทศบาล,รวม,30-34 ปี,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคใต้,ในเขตเทศบาล,รวม,30-34 ปี,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,รวม,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคเหนือ,นอกเขตเทศบาล,รวม,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ภาคเหนือ,ในเขตเทศบาล,รวม,50-59 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคใต้,รวม,รวม,50-59 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคกลาง,รวม,ชาย,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,กรุงเทพมหานคร,ในเขตเทศบาล,ชาย,15-19 ปี,6.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ชาย,15-19 ปี,3.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคใต้,รวม,ชาย,20-24 ปี,3.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,ชาย,25-29 ปี,1.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคเหนือ,รวม,ชาย,25-29 ปี,1.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคกลาง,รวม,ชาย,30-34 ปี,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคเหนือ,ในเขตเทศบาล,ชาย,35-39 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,ชาย,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคเหนือ,ในเขตเทศบาล,ชาย,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,ชาย,50-59 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
